"Employment, Hours, and Earnings from the Current Employment Statistics survey (National)",,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,CES0500000003,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series Title:,"Average hourly earnings of all employees, total private, seasonally adjusted",,,,,,,,,,,
Super Sector:,Total private,,,,,,,,,,,
Industry:,Total private,,,,,,,,,,,
NAICS Code:,-,,,,,,,,,,,
Data Type:,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,,,,,,,,,,,
Years:,2013 to 2023,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,23.75,23.78,23.80,23.87,23.89,23.96,23.98,24.02,24.06,24.09,24.16,24.18
2014,24.23,24.33,24.32,24.34,24.40,24.46,24.48,24.54,24.55,24.58,24.66,24.62
2015,24.75,24.79,24.86,24.89,24.97,24.97,25.00,25.09,25.11,25.19,25.25,25.24
2016,25.38,25.38,25.45,25.53,25.58,25.62,25.69,25.72,25.77,25.89,25.90,25.92
2017,26.00,26.06,26.11,26.17,26.21,26.26,26.36,26.38,26.49,26.49,26.52,26.61
2018,26.73,26.75,26.86,26.92,26.98,27.03,27.09,27.20,27.32,27.36,27.44,27.56
2019,27.59,27.70,27.79,27.76,27.86,27.94,28.02,28.13,28.17,28.24,28.35,28.37
2020,28.43,28.55,28.80,30.01,29.72,29.37,29.39,29.48,29.52,29.54,29.64,29.92
2021,29.92,30.05,30.05,30.20,30.38,30.53,30.66,30.78,30.96,31.14,31.24,31.42
2022,31.63,31.63,31.83,31.94,32.06,32.18,32.33,32.43,32.53,32.66,32.80,32.93
2023,33.03,,,,,,,,,,,
