Game,Date/Season,Winning team,Score,Losing team
I[sb 1],"January 15, 1967 (1966 AFL/1966 NFL)",Green Bay Packers,35–10,"Kansas City Chiefsa(1, 0–1)"
II[sb 1],"January 14, 1968 (1967 AFL/1967 NFL)",Green Bay Packers,33–14,"Oakland Raidersa(1, 0–1)"
III[sb 1],"January 12, 1969 (1968 AFL/1968 NFL)",New York Jets,16–7,"Baltimore Coltsn(1, 0–1)"
IV[sb 1],"January 11, 1970 (1969 AFL/1969 NFL)",Kansas City Chiefs,23–7,"Minnesota Vikingsn(1, 0–1)"
V,"January 17, 1971 (1970)",Baltimore Colts,16–13,"Dallas CowboysN(1, 0–1)"
VI,"January 16, 1972 (1971)",Dallas Cowboys,24–3,"Miami DolphinsA(1, 0–1)"
VII,"January 14, 1973 (1972)",Miami Dolphins,14–7,"Washington RedskinsN(1, 0–1)"
VIII,"January 13, 1974 (1973)",Miami Dolphins,24–7,"Minnesota VikingsN(2, 0–2)"
IX,"January 12, 1975 (1974)",Pittsburgh Steelers,16–6,"Minnesota VikingsN(3, 0–3)"
X,"January 18, 1976 (1975)",Pittsburgh Steelers,21–17,"Dallas CowboysN(3, 1–2) [W]"
XI,"January 9, 1977 (1976)",Oakland Raiders,32–14,"Minnesota VikingsN(4, 0–4)"
XII,"January 15, 1978 (1977)",Dallas Cowboys,27–10,"Denver BroncosA(1, 0–1)"
XIII,"January 21, 1979 (1978)",Pittsburgh Steelers,35–31,"Dallas CowboysN(5, 2–3)"
XIV,"January 20, 1980 (1979)",Pittsburgh Steelers,31–19,"Los Angeles RamsN(1, 0–1)"
XV,"January 25, 1981 (1980)",Oakland Raiders,27–10,"Philadelphia EaglesN(1, 0–1)"
XVI,"January 24, 1982 (1981)",San Francisco 49ers,26–21,"Cincinnati BengalsA(1, 0–1)"
XVII,"January 30, 1983 (1982)",Washington Redskins,27–17,"Miami DolphinsA(4, 2–2)"
XVIII,"January 22, 1984 (1983)",Los Angeles Raiders,38–9,"Washington RedskinsN(3, 1–2)"
XIX,"January 20, 1985 (1984)",San Francisco 49ers,38–16,"Miami DolphinsA(5, 2–3)"
XX,"January 26, 1986 (1985)",Chicago Bears,46–10,"New England PatriotsA(1, 0–1) [W]"
XXI,"January 25, 1987 (1986)",New York Giants,39–20,"Denver BroncosA(2, 0–2)"
XXII,"January 31, 1988 (1987)",Washington Redskins,42–10,"Denver BroncosA(3, 0–3)"
XXIII,"January 22, 1989 (1988)",San Francisco 49ers,20–16,"Cincinnati BengalsA(2, 0–2)"
XXIV,"January 28, 1990 (1989)",San Francisco 49ers,55–10,"Denver BroncosA(4, 0–4)"
XXV,"January 27, 1991 (1990)",New York Giants,20–19,"Buffalo BillsA(1, 0–1)"
XXVI,"January 26, 1992 (1991)",Washington Redskins,37–24,"Buffalo BillsA(2, 0–2)"
XXVII,"January 31, 1993 (1992)",Dallas Cowboys,52–17,"Buffalo BillsA(3, 0–3) [W]"
XXVIII,"January 30, 1994 (1993)",Dallas Cowboys,30–13,"Buffalo BillsA(4, 0–4)"
XXIX,"January 29, 1995 (1994)",San Francisco 49ers,49–26,"San Diego ChargersA(1, 0–1)"
XXX,"January 28, 1996 (1995)",Dallas Cowboys,27–17,"Pittsburgh SteelersA(5, 4–1)"
XXXI,"January 26, 1997 (1996)",Green Bay Packers,35–21,"New England PatriotsA(2, 0–2)"
XXXII,"January 25, 1998 (1997)",Denver Broncos,31–24,"Green Bay PackersN(4, 3–1)"
XXXIII,"January 31, 1999 (1998)",Denver Broncos,34–19,"Atlanta FalconsN(1, 0–1)"
XXXIV,"January 30, 2000 (1999)",St. Louis Rams,23–16,"Tennessee TitansA(1, 0–1)   [W]"
XXXV,"January 28, 2001 (2000)",Baltimore Ravens,34–7,"New York GiantsN(3, 2–1)"
XXXVI,"February 3, 2002 (2001)",New England Patriots,20–17,"St. Louis RamsN(3, 1–2)"
